# Session: Thursday 2/26/2026 8:30-8:45 PM BTC 15 Minute
# Side: NO
# Rules: Entry ≤40¢  |  Take Profit ≥45¢  |  Stop Loss ≤10¢
# Ticker: KXBTC15M-26FEB262045-45
time,session,ticker,bid,ask,spread,mid,bid_qty,ask_qty,last,btc,strike,delta,chg_pct,evt
20:30:00,0:00,KXBTC15M-26FEB262045-45,—,—,—,—,0,0,—,67082.01,—,—,—,
20:30:01,0:01,KXBTC15M-26FEB262045-45,—,—,—,—,0,0,—,67082.01,—,—,—,
20:30:01,0:01,KXBTC15M-26FEB262045-45,—,—,—,—,0,0,—,67082.01,—,—,—,
20:30:02,0:02,KXBTC15M-26FEB262045-45,51,54,3,52.5,9,7,—,67075.57,—,—,—,
20:30:02,0:02,KXBTC15M-26FEB262045-45,51,53,2,52.0,9,56,—,67072.10,—,—,—,
20:30:03,0:03,KXBTC15M-26FEB262045-45,51,53,2,52.0,9,56,49,67069.93,—,—,—,
20:30:03,0:03,KXBTC15M-26FEB262045-45,51,53,2,52.0,9,50,49,67068.45,—,—,—,
20:30:04,0:04,KXBTC15M-26FEB262045-45,51,52,1,51.5,9,5,49,67070.30,—,—,—,
20:30:04,0:04,KXBTC15M-26FEB262045-45,50,52,2,51.0,19,5,49,67071.70,—,—,—,
20:30:05,0:05,KXBTC15M-26FEB262045-45,51,52,1,51.5,10,5,50,67072.81,—,—,—,
20:30:05,0:05,KXBTC15M-26FEB262045-45,47,53,6,50.0,68,50,50,67073.70,—,—,—,
20:30:06,0:06,KXBTC15M-26FEB262045-45,48,52,4,50.0,10,10,50,67074.43,—,—,—,
20:30:06,0:06,KXBTC15M-26FEB262045-45,51,52,1,51.5,21,3,50,67075.23,—,—,—,
20:30:07,0:07,KXBTC15M-26FEB262045-45,51,53,2,52.0,21,53,48,67075.72,—,—,—,
20:30:07,0:07,KXBTC15M-26FEB262045-45,51,53,2,52.0,21,53,48,67076.02,—,—,—,
20:30:08,0:08,KXBTC15M-26FEB262045-45,51,53,2,52.0,38,53,48,67076.41,—,—,—,
20:30:08,0:08,KXBTC15M-26FEB262045-45,51,53,2,52.0,38,53,48,67076.85,—,—,—,
20:30:09,0:09,KXBTC15M-26FEB262045-45,51,53,2,52.0,38,53,48,67077.15,—,—,—,
20:30:09,0:09,KXBTC15M-26FEB262045-45,51,53,2,52.0,38,53,48,67077.41,—,—,—,
20:30:10,0:10,KXBTC15M-26FEB262045-45,51,52,1,51.5,21,3,48,67077.64,—,—,—,
20:30:10,0:10,KXBTC15M-26FEB262045-45,51,52,1,51.5,21,3,48,67077.85,—,—,—,
20:30:11,0:11,KXBTC15M-26FEB262045-45,51,53,2,52.0,21,53,48,67078.04,—,—,—,
20:30:11,0:11,KXBTC15M-26FEB262045-45,51,53,2,52.0,21,53,48,67078.42,—,—,—,
20:30:12,0:12,KXBTC15M-26FEB262045-45,52,53,1,52.5,149,70,48,67078.87,—,—,—,
20:30:12,0:12,KXBTC15M-26FEB262045-45,46,52,6,49.0,229,260,48,67079.28,—,—,—,
20:30:13,0:13,KXBTC15M-26FEB262045-45,61,62,1,61.5,99,51,48,67079.66,—,—,—,
20:30:13,0:13,KXBTC15M-26FEB262045-45,51,61,10,56.0,99,195,39,67080.01,—,—,—,
20:30:14,0:14,KXBTC15M-26FEB262045-45,51,56,5,53.5,69,409,39,67080.33,—,—,—,
