# Session: Thursday 2/26/2026 11:00-11:15 PM BTC 15 Minute
# Side: YES
# Rules: Entry ≤40¢  |  Take Profit ≥45¢  |  Stop Loss ≤10¢
# Ticker: KXBTC15M-26FEB262315-15
time,session,ticker,bid,ask,spread,mid,bid_qty,ask_qty,last,btc,strike,delta,chg_pct,evt
23:00:00,0:00,KXBTC15M-26FEB262315-15,—,—,—,—,0,0,—,67596.20,—,—,—,
23:00:01,0:01,KXBTC15M-26FEB262315-15,47,49,2,48.0,50,40,—,67596.20,—,—,—,
23:00:01,0:01,KXBTC15M-26FEB262315-15,41,47,6,44.0,140,6,—,67596.20,—,—,—,
23:00:02,0:02,KXBTC15M-26FEB262315-15,41,47,6,44.0,155,26,47,67596.20,—,—,—,
23:00:02,0:02,KXBTC15M-26FEB262315-15,41,47,6,44.0,153,26,47,67596.20,—,—,—,
23:00:03,0:03,KXBTC15M-26FEB262315-15,41,47,6,44.0,153,26,41,67596.20,—,—,—,
23:00:03,0:03,KXBTC15M-26FEB262315-15,41,47,6,44.0,165,26,41,67596.20,—,—,—,
23:00:04,0:04,KXBTC15M-26FEB262315-15,41,47,6,44.0,142,26,41,67596.20,—,—,—,
23:00:04,0:04,KXBTC15M-26FEB262315-15,42,47,5,44.5,21,26,41,67596.20,—,—,—,
23:00:05,0:05,KXBTC15M-26FEB262315-15,42,47,5,44.5,13,26,41,67596.20,—,—,—,
23:00:05,0:05,KXBTC15M-26FEB262315-15,41,47,6,44.0,139,426,42,67596.20,—,—,—,
23:00:06,0:06,KXBTC15M-26FEB262315-15,41,42,1,41.5,123,400,42,67596.57,—,—,—,
23:00:06,0:06,KXBTC15M-26FEB262315-15,41,42,1,41.5,3,398,41,67597.59,—,—,—,
23:00:07,0:07,KXBTC15M-26FEB262315-15,41,42,1,41.5,3,387,41,67598.70,—,—,—,
23:00:07,0:07,KXBTC15M-26FEB262315-15,41,42,1,41.5,3,388,42,67599.19,"67,629.66",▼-30.47,-0.0451%,
23:00:08,0:08,KXBTC15M-26FEB262315-15,41,42,1,41.5,3,400,42,67599.83,"67,629.66",▼-29.83,-0.0441%,
23:00:08,0:08,KXBTC15M-26FEB262315-15,41,42,1,41.5,3,400,42,67600.57,"67,629.66",▼-29.09,-0.0430%,
23:00:09,0:09,KXBTC15M-26FEB262315-15,41,42,1,41.5,3,400,42,67601.05,"67,629.66",▼-28.61,-0.0423%,
23:00:09,0:09,KXBTC15M-26FEB262315-15,—,39,—,—,,—,—,67601.34,"67,629.66",▼-28.32,-0.0419%,T40
23:00:09,0:09,KXBTC15M-26FEB262315-15,38,39,1,38.5,51,218,39,67601.48,"67,629.66",▼-28.18,-0.0417%,
23:00:10,0:10,KXBTC15M-26FEB262315-15,38,39,1,38.5,96,213,39,67601.86,"67,629.66",▼-27.80,-0.0411%,
23:00:10,0:10,KXBTC15M-26FEB262315-15,38,39,1,38.5,65,213,39,67602.21,"67,629.66",▼-27.45,-0.0406%,
23:00:11,0:11,KXBTC15M-26FEB262315-15,38,40,2,39.0,20,805,39,67602.53,"67,629.66",▼-27.13,-0.0401%,
23:00:12,0:12,KXBTC15M-26FEB262315-15,38,39,1,38.5,20,400,40,67602.81,"67,629.66",▼-26.85,-0.0397%,
