# Session: Friday 2/27/2026 11:45 PM-12:00 AM BTC 15 Minute
# Side: NO
# Rules: Entry ≤40¢  |  Take Profit ≥45¢  |  Stop Loss ≤10¢
# Ticker: KXBTC15M-26FEB270000-00
time,session,ticker,bid,ask,spread,mid,bid_qty,ask_qty,last,btc,strike,delta,chg_pct,evt
23:45:01,0:01,KXBTC15M-26FEB270000-00,—,—,—,—,0,0,—,67769.76,—,—,—,
23:45:01,0:01,KXBTC15M-26FEB270000-00,47,49,2,48.0,50,30,—,67769.76,—,—,—,
23:45:02,0:02,KXBTC15M-26FEB270000-00,47,49,2,48.0,50,30,—,67769.76,—,—,—,
23:45:02,0:02,KXBTC15M-26FEB270000-00,47,49,2,48.0,50,30,—,67769.76,—,—,—,
23:45:03,0:03,KXBTC15M-26FEB270000-00,47,49,2,48.0,50,30,—,67769.76,—,—,—,
23:45:03,0:03,KXBTC15M-26FEB270000-00,47,49,2,48.0,50,30,—,67769.76,—,—,—,
23:45:04,0:04,KXBTC15M-26FEB270000-00,47,49,2,48.0,50,30,—,67769.76,—,—,—,
23:45:04,0:04,KXBTC15M-26FEB270000-00,47,50,3,48.5,70,5,—,67769.76,—,—,—,
23:45:05,0:05,KXBTC15M-26FEB270000-00,47,50,3,48.5,70,15,—,67769.76,—,—,—,
23:45:05,0:05,KXBTC15M-26FEB270000-00,47,53,6,50.0,70,50,50,67769.76,—,—,—,
23:45:06,0:06,KXBTC15M-26FEB270000-00,47,52,5,49.5,370,402,49,67769.76,—,—,—,
23:45:06,0:06,KXBTC15M-26FEB270000-00,47,49,2,48.0,3,400,49,67769.76,—,—,—,
23:45:07,0:07,KXBTC15M-26FEB270000-00,47,49,2,48.0,46,383,56,67769.76,—,—,—,
23:45:07,0:07,KXBTC15M-26FEB270000-00,47,49,2,48.0,46,383,56,67769.76,—,—,—,
23:45:08,0:08,KXBTC15M-26FEB270000-00,47,49,2,48.0,46,383,51,67769.76,"67,763.09",▲+6.68,+0.0099%,
23:45:08,0:08,KXBTC15M-26FEB270000-00,48,50,2,49.0,45,15,51,67769.76,"67,763.09",▲+6.68,+0.0099%,
23:45:09,0:09,KXBTC15M-26FEB270000-00,47,51,4,49.0,66,15,52,67769.76,"67,763.09",▲+6.68,+0.0099%,
23:45:09,0:09,KXBTC15M-26FEB270000-00,48,51,3,49.5,45,6,52,67769.76,"67,763.09",▲+6.68,+0.0099%,
23:45:10,0:10,KXBTC15M-26FEB270000-00,48,50,2,49.0,20,400,49,67769.76,"67,763.09",▲+6.68,+0.0099%,
23:45:10,0:10,KXBTC15M-26FEB270000-00,48,50,2,49.0,20,400,49,67769.76,"67,763.09",▲+6.68,+0.0099%,
23:45:11,0:11,KXBTC15M-26FEB270000-00,48,50,2,49.0,65,420,50,67769.76,"67,763.09",▲+6.68,+0.0099%,
23:45:12,0:12,KXBTC15M-26FEB270000-00,47,50,3,48.5,288,440,50,67769.76,"67,763.09",▲+6.68,+0.0099%,
23:45:12,0:12,KXBTC15M-26FEB270000-00,47,50,3,48.5,308,440,53,67769.81,"67,763.09",▲+6.72,+0.0099%,
23:45:13,0:13,KXBTC15M-26FEB270000-00,49,50,1,49.5,395,420,53,67769.95,"67,763.09",▲+6.86,+0.0101%,
23:45:13,0:13,KXBTC15M-26FEB270000-00,49,50,1,49.5,304,420,51,67770.11,"67,763.09",▲+7.02,+0.0104%,
23:45:14,0:14,KXBTC15M-26FEB270000-00,49,50,1,49.5,31,420,51,67770.18,"67,763.09",▲+7.09,+0.0105%,
23:45:14,0:14,KXBTC15M-26FEB270000-00,49,50,1,49.5,31,401,51,67770.32,"67,763.09",▲+7.23,+0.0107%,
23:45:15,0:15,KXBTC15M-26FEB270000-00,49,50,1,49.5,22,400,51,67770.42,"67,763.09",▲+7.33,+0.0108%,
23:45:15,0:15,KXBTC15M-26FEB270000-00,49,50,1,49.5,1020,400,51,67770.51,"67,763.09",▲+7.42,+0.0109%,
23:45:16,0:16,KXBTC15M-26FEB270000-00,49,50,1,49.5,926,400,51,67770.55,"67,763.09",▲+7.46,+0.0110%,
23:45:16,0:16,KXBTC15M-26FEB270000-00,49,50,1,49.5,926,400,50,67770.56,"67,763.09",▲+7.47,+0.0110%,
23:45:17,0:17,KXBTC15M-26FEB270000-00,49,50,1,49.5,926,400,50,67770.57,"67,763.09",▲+7.48,+0.0110%,
23:45:17,0:17,KXBTC15M-26FEB270000-00,49,50,1,49.5,924,400,50,67770.59,"67,763.09",▲+7.50,+0.0111%,
23:45:18,0:18,KXBTC15M-26FEB270000-00,49,51,2,50.0,868,362,51,67770.60,"67,763.09",▲+7.51,+0.0111%,
23:45:18,0:18,KXBTC15M-26FEB270000-00,49,51,2,50.0,709,362,51,67770.61,"67,763.09",▲+7.52,+0.0111%,
23:45:19,0:19,KXBTC15M-26FEB270000-00,49,51,2,50.0,608,362,51,67770.62,"67,763.09",▲+7.53,+0.0111%,
23:45:19,0:19,KXBTC15M-26FEB270000-00,49,51,2,50.0,514,362,51,67770.63,"67,763.09",▲+7.54,+0.0111%,
23:45:20,0:20,KXBTC15M-26FEB270000-00,49,52,3,50.5,899,784,51,67770.64,"67,763.09",▲+7.55,+0.0111%,
23:45:20,0:20,KXBTC15M-26FEB270000-00,49,52,3,50.5,907,783,51,67770.65,"67,763.09",▲+7.56,+0.0112%,
23:45:21,0:21,KXBTC15M-26FEB270000-00,49,51,2,50.0,607,45,48,67770.66,"67,763.09",▲+7.57,+0.0112%,
23:45:21,0:21,KXBTC15M-26FEB270000-00,52,53,1,52.5,261,52,48,67770.67,"67,763.09",▲+7.58,+0.0112%,
23:45:22,0:22,KXBTC15M-26FEB270000-00,52,53,1,52.5,261,25,47,67770.67,"67,763.09",▲+7.58,+0.0112%,
23:45:23,0:23,KXBTC15M-26FEB270000-00,52,53,1,52.5,231,25,47,67770.68,"67,763.09",▲+7.59,+0.0112%,
23:45:23,0:23,KXBTC15M-26FEB270000-00,52,56,4,54.0,211,743,48,67770.69,"67,763.09",▲+7.60,+0.0112%,
23:45:24,0:24,KXBTC15M-26FEB270000-00,53,56,3,54.5,45,753,48,67770.70,"67,763.09",▲+7.61,+0.0112%,
23:45:24,0:24,KXBTC15M-26FEB270000-00,53,56,3,54.5,445,753,44,67770.70,"67,763.09",▲+7.61,+0.0112%,
23:45:25,0:25,KXBTC15M-26FEB270000-00,53,56,3,54.5,400,798,44,67770.71,"67,763.09",▲+7.62,+0.0112%,
23:45:25,0:25,KXBTC15M-26FEB270000-00,53,55,2,54.0,400,45,47,67770.72,"67,763.09",▲+7.63,+0.0113%,
23:45:26,0:26,KXBTC15M-26FEB270000-00,52,55,3,53.5,575,55,47,67770.69,"67,763.09",▲+7.60,+0.0112%,
23:45:26,0:26,KXBTC15M-26FEB270000-00,52,54,2,53.0,575,45,47,67770.64,"67,763.09",▲+7.55,+0.0111%,
23:45:27,0:27,KXBTC15M-26FEB270000-00,53,56,3,54.5,445,557,47,67770.60,"67,763.09",▲+7.51,+0.0111%,
23:45:27,0:27,KXBTC15M-26FEB270000-00,55,56,1,55.5,2,406,47,67770.55,"67,763.09",▲+7.46,+0.0110%,
23:45:28,0:28,KXBTC15M-26FEB270000-00,53,56,3,54.5,302,551,44,67770.55,"67,763.09",▲+7.46,+0.0110%,
23:45:28,0:28,KXBTC15M-26FEB270000-00,53,55,2,54.0,400,6,44,67770.55,"67,763.09",▲+7.46,+0.0110%,
23:45:29,0:29,KXBTC15M-26FEB270000-00,53,56,3,54.5,145,400,44,67770.56,"67,763.09",▲+7.47,+0.0110%,
23:45:29,0:29,KXBTC15M-26FEB270000-00,53,56,3,54.5,145,402,44,67770.57,"67,763.09",▲+7.48,+0.0110%,
23:45:30,0:30,KXBTC15M-26FEB270000-00,53,56,3,54.5,145,402,44,67770.55,"67,763.09",▲+7.46,+0.0110%,
23:45:30,0:30,KXBTC15M-26FEB270000-00,52,56,4,54.0,1013,153,44,67770.51,"67,763.09",▲+7.42,+0.0109%,
23:45:31,0:31,KXBTC15M-26FEB270000-00,53,55,2,54.0,45,1,47,67770.47,"67,763.09",▲+7.38,+0.0109%,
23:45:31,0:31,KXBTC15M-26FEB270000-00,53,56,3,54.5,674,401,47,67770.44,"67,763.09",▲+7.35,+0.0108%,
23:45:32,0:32,KXBTC15M-26FEB270000-00,53,56,3,54.5,629,382,44,67770.40,"67,763.09",▲+7.31,+0.0108%,
23:45:32,0:32,KXBTC15M-26FEB270000-00,53,56,3,54.5,188,446,44,67770.37,"67,763.09",▲+7.28,+0.0107%,
23:45:33,0:33,KXBTC15M-26FEB270000-00,53,56,3,54.5,233,401,44,67770.34,"67,763.09",▲+7.25,+0.0107%,
23:45:33,0:33,KXBTC15M-26FEB270000-00,53,56,3,54.5,633,401,44,67770.31,"67,763.09",▲+7.22,+0.0107%,
23:45:34,0:34,KXBTC15M-26FEB270000-00,53,56,3,54.5,633,401,44,67770.02,"67,763.09",▲+6.93,+0.0102%,
23:45:35,0:35,KXBTC15M-26FEB270000-00,53,55,2,54.0,568,146,44,67769.61,"67,763.09",▲+6.52,+0.0096%,
23:45:35,0:35,KXBTC15M-26FEB270000-00,53,55,2,54.0,613,290,45,67769.22,"67,763.09",▲+6.13,+0.0090%,
23:45:36,0:36,KXBTC15M-26FEB270000-00,53,55,2,54.0,613,245,45,67768.96,"67,763.09",▲+5.87,+0.0087%,
23:45:36,0:36,KXBTC15M-26FEB270000-00,53,55,2,54.0,525,69,45,67768.95,"67,763.09",▲+5.86,+0.0086%,
23:45:37,0:37,KXBTC15M-26FEB270000-00,53,55,2,54.0,570,66,45,67768.94,"67,763.09",▲+5.85,+0.0086%,
23:45:37,0:37,KXBTC15M-26FEB270000-00,53,55,2,54.0,570,66,45,67768.93,"67,763.09",▲+5.84,+0.0086%,
23:45:38,0:38,KXBTC15M-26FEB270000-00,53,55,2,54.0,570,66,45,67768.92,"67,763.09",▲+5.83,+0.0086%,
23:45:38,0:38,KXBTC15M-26FEB270000-00,53,55,2,54.0,570,27,45,67768.91,"67,763.09",▲+5.82,+0.0086%,
23:45:39,0:39,KXBTC15M-26FEB270000-00,53,56,3,54.5,445,214,45,67768.91,"67,763.09",▲+5.82,+0.0086%,
23:45:39,0:39,KXBTC15M-26FEB270000-00,53,55,2,54.0,445,499,47,67768.90,"67,763.09",▲+5.81,+0.0086%,
23:45:40,0:40,KXBTC15M-26FEB270000-00,53,55,2,54.0,445,498,45,67768.67,"67,763.09",▲+5.58,+0.0082%,
23:45:40,0:40,KXBTC15M-26FEB270000-00,53,55,2,54.0,400,493,45,67768.34,"67,763.09",▲+5.25,+0.0078%,
23:45:41,0:41,KXBTC15M-26FEB270000-00,53,55,2,54.0,400,493,45,67768.02,"67,763.09",▲+4.93,+0.0073%,
23:45:41,0:41,KXBTC15M-26FEB270000-00,53,56,3,54.5,400,176,45,67767.71,"67,763.09",▲+4.62,+0.0068%,
23:45:42,0:42,KXBTC15M-26FEB270000-00,53,56,3,54.5,427,160,44,67767.40,"67,763.09",▲+4.31,+0.0064%,
23:45:42,0:42,KXBTC15M-26FEB270000-00,53,56,3,54.5,427,160,44,67767.10,"67,763.09",▲+4.01,+0.0059%,
23:45:43,0:43,KXBTC15M-26FEB270000-00,53,56,3,54.5,400,160,47,67766.81,"67,763.09",▲+3.72,+0.0055%,
23:45:43,0:43,KXBTC15M-26FEB270000-00,53,56,3,54.5,572,154,47,67766.53,"67,763.09",▲+3.44,+0.0051%,
23:45:44,0:44,KXBTC15M-26FEB270000-00,53,56,3,54.5,572,154,44,67766.25,"67,763.09",▲+3.16,+0.0047%,
23:45:45,0:45,KXBTC15M-26FEB270000-00,53,57,4,55.0,572,578,44,67765.98,"67,763.09",▲+2.89,+0.0043%,
