# Session: Friday 2/27/2026 11:45 PM-12:00 AM BTC 15 Minute
# Side: YES
# Rules: Entry ≤40¢  |  Take Profit ≥45¢  |  Stop Loss ≤10¢
# Ticker: KXBTC15M-26FEB270000-00
time,session,ticker,bid,ask,spread,mid,bid_qty,ask_qty,last,btc,strike,delta,chg_pct,evt
23:45:01,0:01,KXBTC15M-26FEB270000-00,—,—,—,—,0,0,—,67769.76,—,—,—,
23:45:01,0:01,KXBTC15M-26FEB270000-00,51,53,2,52.0,30,50,—,67769.76,—,—,—,
23:45:02,0:02,KXBTC15M-26FEB270000-00,51,53,2,52.0,30,50,—,67769.76,—,—,—,
23:45:02,0:02,KXBTC15M-26FEB270000-00,51,53,2,52.0,30,50,—,67769.76,—,—,—,
23:45:03,0:03,KXBTC15M-26FEB270000-00,51,53,2,52.0,30,50,—,67769.76,—,—,—,
23:45:03,0:03,KXBTC15M-26FEB270000-00,51,53,2,52.0,30,50,—,67769.76,—,—,—,
23:45:04,0:04,KXBTC15M-26FEB270000-00,51,53,2,52.0,30,50,—,67769.76,—,—,—,
23:45:04,0:04,KXBTC15M-26FEB270000-00,50,53,3,51.5,5,70,—,67769.76,—,—,—,
23:45:05,0:05,KXBTC15M-26FEB270000-00,50,53,3,51.5,15,70,—,67769.76,—,—,—,
23:45:05,0:05,KXBTC15M-26FEB270000-00,47,53,6,50.0,50,70,50,67769.76,—,—,—,
23:45:06,0:06,KXBTC15M-26FEB270000-00,48,52,4,50.0,2,400,49,67769.76,—,—,—,
23:45:06,0:06,KXBTC15M-26FEB270000-00,51,53,2,52.0,400,3,49,67769.76,—,—,—,
23:45:07,0:07,KXBTC15M-26FEB270000-00,51,53,2,52.0,383,46,56,67769.76,—,—,—,
23:45:07,0:07,KXBTC15M-26FEB270000-00,51,53,2,52.0,383,46,56,67769.76,—,—,—,
23:45:08,0:08,KXBTC15M-26FEB270000-00,51,53,2,52.0,383,46,51,67769.76,"67,763.09",▲+6.68,+0.0099%,
23:45:08,0:08,KXBTC15M-26FEB270000-00,51,52,1,51.5,400,45,51,67769.76,"67,763.09",▲+6.68,+0.0099%,
