# Session: Friday 2/27/2026 3:30-3:45 AM BTC 15 Minute
# Side: NO
# Rules: Entry ≤40¢  |  Take Profit ≥45¢  |  Stop Loss ≤10¢
# Ticker: KXBTC15M-26FEB270345-45
time,session,ticker,bid,ask,spread,mid,bid_qty,ask_qty,last,btc,strike,delta,chg_pct,evt
03:30:00,0:00,KXBTC15M-26FEB270345-45,—,—,—,—,0,0,—,67955.05,—,—,—,
03:30:01,0:01,KXBTC15M-26FEB270345-45,51,56,5,53.5,40,10,—,67955.05,—,—,—,
03:30:01,0:01,KXBTC15M-26FEB270345-45,51,53,2,52.0,41,49,50,67955.05,—,—,—,
03:30:02,0:02,KXBTC15M-26FEB270345-45,51,53,2,52.0,40,49,50,67955.05,—,—,—,
03:30:02,0:02,KXBTC15M-26FEB270345-45,51,53,2,52.0,40,49,47,67955.05,—,—,—,
03:30:03,0:03,KXBTC15M-26FEB270345-45,51,53,2,52.0,40,49,47,67955.05,—,—,—,
03:30:04,0:04,KXBTC15M-26FEB270345-45,51,53,2,52.0,40,49,47,67955.05,—,—,—,
03:30:04,0:04,KXBTC15M-26FEB270345-45,51,52,1,51.5,40,150,47,67954.94,—,—,—,
03:30:05,0:05,KXBTC15M-26FEB270345-45,51,52,1,51.5,40,150,47,67954.80,—,—,—,
03:30:05,0:05,KXBTC15M-26FEB270345-45,51,52,1,51.5,40,150,47,67954.69,—,—,—,
03:30:06,0:06,KXBTC15M-26FEB270345-45,51,52,1,51.5,40,150,47,67954.60,—,—,—,
03:30:06,0:06,KXBTC15M-26FEB270345-45,51,52,1,51.5,40,550,47,67954.60,—,—,—,
03:30:07,0:07,KXBTC15M-26FEB270345-45,50,52,2,51.0,88,542,47,67954.63,—,—,—,
03:30:07,0:07,KXBTC15M-26FEB270345-45,50,51,1,50.5,88,137,48,67954.66,"67,938.59",▲+16.07,+0.0237%,
03:30:08,0:08,KXBTC15M-26FEB270345-45,50,51,1,50.5,88,137,48,67954.69,"67,938.59",▲+16.10,+0.0237%,
03:30:09,0:09,KXBTC15M-26FEB270345-45,50,51,1,50.5,87,182,49,67954.71,"67,938.59",▲+16.12,+0.0237%,
03:30:09,0:09,KXBTC15M-26FEB270345-45,50,51,1,50.5,87,607,49,67954.74,"67,938.59",▲+16.15,+0.0238%,
03:30:10,0:10,KXBTC15M-26FEB270345-45,50,51,1,50.5,87,610,50,67954.75,"67,938.59",▲+16.16,+0.0238%,
03:30:10,0:10,KXBTC15M-26FEB270345-45,50,51,1,50.5,87,610,50,67955.49,"67,938.59",▲+16.90,+0.0249%,
